Continent,Year,Value
Africa,1961,2035
Africa,1962,2050
Africa,1963,2061
Africa,1964,2072
Africa,1965,2099
Africa,1966,2087
Africa,1967,2122
Africa,1968,2129
Africa,1969,2118
Africa,1970,2134
Africa,1971,2153
Africa,1972,2125
Africa,1973,2133
Africa,1974,2141
Africa,1975,2133
Africa,1976,2149
Africa,1977,2165
Africa,1978,2173
Africa,1979,2184
Africa,1980,2190
Africa,1981,2201
Africa,1982,2199
Africa,1983,2187
Africa,1984,2190
Africa,1985,2227
Africa,1986,2226
Africa,1987,2207
Africa,1988,2228
Africa,1989,2232
Africa,1990,2233
Africa,1991,2245
Africa,1992,2232
Africa,1993,2211
Africa,1994,2225
Africa,1995,2236
Africa,1996,2252
Africa,1997,2269
Africa,1998,2286
Africa,1999,2305
Africa,2000,2323
Africa,2001,2343
Africa,2002,2354
Africa,2003,2372
Africa,2004,2388
Africa,2005,2406
Africa,2006,2429
Africa,2007,2445
Africa,2008,2464
Africa,2009,2488
Africa,2010,2556
Africa,2011,2562
Africa,2012,2575
Africa,2013,2569
Africa,2014,2542
Africa,2015,2536
Africa,2016,2537
Africa,2017,2547
Africa,2018,2563
Africa,2019,2560
Asia,1961,2134
Asia,1962,2149
Asia,1963,2160
Asia,1964,2196
Asia,1965,2210
Asia,1966,2228
Asia,1967,2234
Asia,1968,2256
Asia,1969,2277
Asia,1970,2281
Asia,1971,2260
Asia,1972,2251
Asia,1973,2297
Asia,1974,2282
Asia,1975,2276
Asia,1976,2316
Asia,1977,2332
Asia,1978,2407
Asia,1979,2432
Asia,1980,2469
Asia,1981,2480
Asia,1982,2512
Asia,1983,2546
Asia,1984,2552
Asia,1985,2540
Asia,1986,2546
Asia,1987,2588
Asia,1988,2612
Asia,1989,2626
Asia,1990,2550
Asia,1991,2492
Asia,1992,2528
Asia,1993,2522
Asia,1994,2553
Asia,1995,2572
Asia,1996,2576
Asia,1997,2588
Asia,1998,2597
Asia,1999,2620
Asia,2000,2614
Asia,2001,2630
Asia,2002,2641
Asia,2003,2654
Asia,2004,2681
Asia,2005,2699
Asia,2006,2716
Asia,2007,2744
Asia,2008,2744
Asia,2009,2762
Asia,2010,2786
Asia,2011,2795
Asia,2012,2819
Asia,2013,2829
Asia,2014,2835
Asia,2015,2839
Asia,2016,2838
Asia,2017,2854
Asia,2018,2865
Asia,2019,2868
Europe,1961,2973
Europe,1962,2994
Europe,1963,2983
Europe,1964,3007
Europe,1965,3046
Europe,1966,3066
Europe,1967,3064
Europe,1968,3091
Europe,1969,3108
Europe,1970,3129
Europe,1971,3139
Europe,1972,3131
Europe,1973,3161
Europe,1974,3140
Europe,1975,3121
Europe,1976,3165
Europe,1977,3163
Europe,1978,3179
Europe,1979,3191
Europe,1980,3206
Europe,1981,3195
Europe,1982,3191
Europe,1983,3190
Europe,1984,3201
Europe,1985,3216
Europe,1986,3226
Europe,1987,3245
Europe,1988,3261
Europe,1989,3272
Europe,1990,3235
Europe,1991,3237
Europe,1992,3057
Europe,1993,3031
Europe,1994,3033
Europe,1995,3052
Europe,1996,3089
Europe,1997,3089
Europe,1998,3111
Europe,1999,3125
Europe,2000,3144
Europe,2001,3173
Europe,2002,3190
Europe,2003,3184
Europe,2004,3221
Europe,2005,3238
Europe,2006,3242
Europe,2007,3255
Europe,2008,3271
Europe,2009,3262
Europe,2010,3262
Europe,2011,3273
Europe,2012,3263
Europe,2013,3276
Europe,2014,3279
Europe,2015,3285
Europe,2016,3297
Europe,2017,3311
Europe,2018,3322
Europe,2019,3331
North America,1961,2041
North America,1962,2093
North America,1963,2112
North America,1964,2140
North America,1965,2167
North America,1966,2191
North America,1967,2203
North America,1968,2227
North America,1969,2257
North America,1970,2290
North America,1971,2318
North America,1972,2299
North America,1973,2300
North America,1974,2316
North America,1975,2321
North America,1976,2342
North America,1977,2369
North America,1978,2380
North America,1979,2385
North America,1980,2468
North America,1981,2494
North America,1982,2474
North America,1983,2473
North America,1984,2510
North America,1985,2544
North America,1986,2576
North America,1987,2584
North America,1988,2572
North America,1989,2570
North America,1990,2553
North America,1991,2549
North America,1992,2549
North America,1993,2543
North America,1994,2547
North America,1995,2543
North America,1996,2551
North America,1997,2561
North America,1998,2577
North America,1999,2599
North America,2000,2633
North America,2001,2661
North America,2002,2682
North America,2003,2677
North America,2004,2681
North America,2005,2704
North America,2006,2713
North America,2007,2739
North America,2008,2723
North America,2009,2734
North America,2010,2756
North America,2011,2770
North America,2012,2780
North America,2013,2780
North America,2014,2787
North America,2015,2800
North America,2016,2823
North America,2017,2844
North America,2018,2853
North America,2019,2858
Oceania,1961,2509
Oceania,1962,2552
Oceania,1963,2573
Oceania,1964,2582
Oceania,1965,2589
Oceania,1966,2601
Oceania,1967,2624
Oceania,1968,2599
Oceania,1969,2612
Oceania,1970,2608
Oceania,1971,2675
Oceania,1972,2676
Oceania,1973,2675
Oceania,1974,2676
Oceania,1975,2683
Oceania,1976,2671
Oceania,1977,2661
Oceania,1978,2687
Oceania,1979,2725
Oceania,1980,2705
Oceania,1981,2640
Oceania,1982,2700
Oceania,1983,2655
Oceania,1984,2690
Oceania,1985,2729
Oceania,1986,2684
Oceania,1987,2689
Oceania,1988,2684
Oceania,1989,2649
Oceania,1990,2702
Oceania,1991,2722
Oceania,1992,2708
Oceania,1993,2711
Oceania,1994,2696
Oceania,1995,2755
Oceania,1996,2758
Oceania,1997,2791
Oceania,1998,2806
Oceania,1999,2811
Oceania,2000,2812
Oceania,2001,2827
Oceania,2002,2839
Oceania,2003,2856
Oceania,2004,2852
Oceania,2005,2899
Oceania,2006,2897
Oceania,2007,2903
Oceania,2008,2921
Oceania,2009,2918
Oceania,2010,2839
Oceania,2011,2859
Oceania,2012,2869
Oceania,2013,2864
Oceania,2014,2867
Oceania,2015,2869
Oceania,2016,2856
Oceania,2017,2864
Oceania,2018,2873
Oceania,2019,2889
South America,1961,2327
South America,1962,2336
South America,1963,2321
South America,1964,2397
South America,1965,2402
South America,1966,2395
South America,1967,2393
South America,1968,2417
South America,1969,2468
South America,1970,2467
South America,1971,2449
South America,1972,2434
South America,1973,2411
South America,1974,2491
South America,1975,2484
South America,1976,2520
South America,1977,2502
South America,1978,2515
South America,1979,2543
South America,1980,2575
South America,1981,2565
South America,1982,2542
South America,1983,2517
South America,1984,2528
South America,1985,2534
South America,1986,2529
South America,1987,2556
South America,1988,2529
South America,1989,2512
South America,1990,2478
South America,1991,2533
South America,1992,2571
South America,1993,2596
South America,1994,2642
South America,1995,2636
South America,1996,2664
South America,1997,2682
South America,1998,2670
South America,1999,2692
South America,2000,2708
South America,2001,2709
South America,2002,2696
South America,2003,2708
South America,2004,2706
South America,2005,2718
South America,2006,2733
South America,2007,2745
South America,2008,2764
South America,2009,2761
South America,2010,2853
South America,2011,2861
South America,2012,2880
South America,2013,2905
South America,2014,2930
South America,2015,2932
South America,2016,2914
South America,2017,2926
South America,2018,2956
South America,2019,2964
